d,u,t,b
"15.08.2007, 15:03",campkm,Give Away Motocycle Magazines,"Hello,We had a big, big tidy up on the weekend, therefore we have some things to give away.We have about 80 Australian Motocylce News magazines dating from 2001 to July 2007 in excellent condition to give away to somebody who is willing to come and collect them from us. They fill a Coop bag. I could put these out for recycling, but it just seems a shame in case anybody else out there is a bike enthusiast like my husband is and also I know how hard english magazines are so hard to come by here.We would love it if they could be collected this week before Saturday 18th August.RegardsKim CampbellThalwil, near Zurich"
"02.08.2007, 10:58",kiara,help needed[seeking free stuff Geneva],"Hi there,
could anyone give me some info on the sites where i can find free stuff or second hand sale in geneva. 
thanks in advance."
"02.08.2007, 00:53",mikelovelace,Free Apartment Furniture In Bern,"We're moving out of our tiny apartment and have lots of furniture that we're giving away.
One green coffee table, around three and a half feet in diameter. 
One brown desk. Seven drawers, all fairly deep. 3 feet by 2 and a half feet deskspace. It's around 40 years old but doesn't have too much wear and tear. I'm pretty fond of it.
A couple chairs. 
If you can haul it away, it's yours. This weekend [August 4th-5th] would be good but we need it gone by Friday, August 10th. 
I'll add pictures soon."
"10.07.2007, 20:09",jot,Free furniture in Zürich Oerlikon,"Hello,
due to an imminent move, I have the following furniture to give away for free, upon collection from Zürich Oerlikon.  
Photos attached.  Approx measurements in cm.Small side cabinet with drawer & cupboard, marble top (42w x 36d x 80h) chest of drawers (80w x 48d x 102h) 2 x wardrobes, painted white (84w x 51d x 178h) small box drawer unit, fronts painted blue & greeen, e.g. suitable for cds coffee table (71 x 71 x 50h) dining/kitchen table (120l x 80w x 74h) desk/dining table on casters (not pictured - similar proportions as above) PM or email me if you're interested or would like further info!
cheers,
Jot"
"25.07.2007, 14:18",Nanda,[Zurich] 125cm Cat tunnel seeks new appreciative owner(s),"This is what it looks like (in beige):
Very minimally used. My two just don't seem to be interested in it. So it's time it goes to another home to be appreciated 
~ Nanda"
"17.07.2007, 08:43",jry,"FREE in ZURICH: Couch,Chair,Table & Chairs, TV",FREE: Available for immediate pickup in Zurich:· Dark red couch with matching accent chair· Small Dining table with 4 chairs. The table top is 40 X 110 CM.· 27  TVSee attached pictures. Please respond if interested.
"09.08.2006, 00:30",Idgie,Free desk to give away in Zurich,"I no longer need my old desk - anyone interested? 65 x 120 cm, birch, very plain with two drawers. A friend of mine thought the desk could carry his weight - we now know it cannot, but we have fixed it. Still, one can see the bruises. So, it is not ""like new"", but it serves its purpose.
If interested, please send me a private mail. I also have photos.
Idgie
Update: It's gone"
"11.07.2007, 17:04",Torrevil,"Free: assorted IKEA furniture, exercise bike: Zurich","Hi:
Switzerland wants me out, so I am movin away...
Because of my moving, I have to ""get rid of"" my few belongings in Switzerland, which are: 2 office chairs, 2 studying tables, 2 mattresses, 1 chest of drawers, 1 small drawer, 1 small table-lamp and 1 exercise bike.
Everything was bought in IKEA about march this year, so almost new, except for the exercise bike, which I got free a pair of months ago, but works perfectly.
Things must be taken in Zurich, in Weststrasse, near Bahnhof Wiedikon, the sooner the better, as I am moving some day next week.
If you want something and/or pictures write to both these addresses:torrevil@hotmail.comthoughts211@hotmail.com
PD: I'll be travelling and will be back on tuesday; I didn't expect so many answers so soon, and that's why I put the ad before my travel, sorry. So, I apologiza if I cannot answer soon everyone, but I'll do on tuesday, and the first ones to having answered will have it, as that's the fairest I can think."
"08.07.2007, 21:15",paolo_eh16,Furniture Require in Zug,"Hi all,
If anyone living near to Zug and wanna to give a sofa, a bed and more?  I just recently relocated from Edinburgh/Inverness, Scotland to Zug.  
Thank you very much!
Paolo_eh16."
"02.07.2007, 10:39",daineer,[TAKEN ] Blue Ikea 2 seater sofa,"Since I am leaving Switzerland, I have a blue 2 seater Ikea sofa to give away. You have to collect from 8047 Zurich.Pictures here:http://www.flickr.com/photos/dainee/sets/72157600504952719/cat NOT included :-)"
"05.07.2007, 14:48",telemark,[FOR FREE] 3 IKEA rush mats,"3 IKEA rush mats, approx. 220cm x 160cm ; free if collect from Nyon. Call 079779 4832"
"03.07.2007, 13:40",SwissMs2000,"[bottle tote, ZH, ZG] More Free things....","With our move at the end of the month I've come across a few things no longer needed.
Books:
Tom Green- Hollywood Causes Cancer (hard cover)
What to Expect When Expecting
Alphabet printed Boppy Nursing Pillow
Never used Bottle insulated tote
Pick up in Zug"
"03.07.2007, 11:48",SwissMs2000,[taken] Free to a good home.. [dog stuff],"I have a Burberry- like print dog carrying bag, collars (barely worn), Flippy lead and 2 jackets for a small dog (Chihauhau or small Terrier) that I'm giving away for free. Also included is a half bag of Eukanuba adult small bites. We're sadly putting my baby to sleep and I'd hate to just pitch it in the garbage."
"05.06.2007, 10:35",Dani G.,[FOR FREE]Only Fools and Horses Videos,"Hi everyone
I am giving away my set of Only Fools and Horses Videos.
I have over 20 VHS Casettes almost completing the whole set of the most funniest sitcom ever.
I am moving at the end of the month, so instead of throwing them all away (cause I have them all on DVD) I would rather give them away.
If you are interested, then either reply here or send me an Email.
The Videos can be picked up in the Region of Basel. I can send them if you wish, but you would have to pay for Postage & Packaging.
Cheers
Daniice75@bluewin.ch"
"19.06.2007, 11:11",Dani G.,3 Piece Cupboard Set (FREE),"Im giving away my 3 piece Cupboard Set, due to me moving.
The Set needs to be picked up by Saturday (23.06.07) in Binningen (Basel-Land, 2 minutes from Basel).
Cheers
Dani"
"25.06.2007, 17:09",goodhill,Orchid Plants To Give Away,I have about 10 orchids with no flowers to give away. Most will yield huge white orchids. Any orchid caretakers? I am in Zurich
"23.03.2006, 09:58",Koko,Tons of Used English Books.....Free!!!,"Here's a good tip for anyone looking for second hand English books.The English Shop in Luzern will be going out of business on Friday, 24th March. She has a whole basement full of English books to give away. Expats have been dropping them off over the years and now she has to get rid of all of them. I just picked up bunch of Donna Leon books.......like new and for free! Where do you find things for free in Switzerland? I would give the shop a call before going. I'm not sure what's left. If you're interested in English books for kids, she is selling all kids' stuff for CHF.10.00. Believe me, it's worth checking out!"
"09.03.2007, 08:04",MaKita,Wanted - assorted furniture in Zurich area,"Hi if somebody living near to zurich and just wanna give the sofa , bed and more, my husband and i (we married in february ) we will move to a new apartament, and we dont have nothing
thanks very much if someone can give us free stuffs
please pm or email to morapasten@gmail.com"
"17.06.2007, 14:51",Bladebabe,2 Long Haired Guinea Pigs Free To A Good Home,"As I am leaving the country I am looking for a loving home for my 2 long haired guinea pigs.  18 months old, both castrated, lovely characters.  Cage and all other accessories included.
Let me know if you might be interested."
"10.06.2007, 18:25",ecm,IKEA PS Bettsofa - Luzern,I have a 3 year old Ikea PS Bettsofa to give away.  Comes with 2 arm cushions and 2 back cushions.  Not ideal for a fulltime bed but fine for occasional usage. Pick up in Luzern
"01.06.2007, 14:54",Princess Leia,"IT Books: name your price!, most are free!!","Cleaning out my IT books before my move:: name your price on the newer ones and classics! - others are free! Books are in very good condition.
Pick up in Zurich right near the new Sihlcity or anywhere from Albisgütli, SihlCity, Enge, Bahnhofstr, Central, Bellevue. 
Or books can be sent for the cost of postage, usually 6-8 CHF.
APress, Pro Spring
O'Reilly Spring, A Developers Notebook
O'Reilly: Mastering Oracle SQL, 2nd edition
Handbook of Applied Cryptography, Menezes, van Oorschot, Wanstone, printed manuscript
Bea Education Services: Bea Reference Guide
Bea Education Services: Bea WebLogic Server 8.1: System Administration
IONA Professional Services: Orbix Web for Java Programmers (course book, older version)
PowerBuilder 6 and 7 books
Complete Java 2 Certification Study Guide, 2nd edition, Sybex
The Java Programming Language, 2nd edition, Arnold, Gosling
The Java Programming Language, 3rd edition, Arnold, Gosling, Holmes
Deitel & Deitel Java How to Program, 3rd edition
Deitel & Deitel, Neito, e-business & e-commerce, 1st edition
O'reilly Java Cookbook, 2001
WROX, Java Server Programming, J2EE edition
Enterprise Application Intergration, Linthicum
HTML, JAVA, CGI, VRML, SGML, Web Publishing unleashed, 1996
Lan Times Guide to SQL, Groff, Weinberg
[See also the more UP-TO-DATE BOOKS for sale thread]"
"28.04.2007, 10:22",DeadLast,Moving boxes (offered),I have 25-30 moving boxes available if anyone wants them. I'm not prepared to give them out in dribs and drabs - you've got to take them all. If you want them please send me a PM and I'll let you know where you can collect them.
"14.05.2007, 20:26",fourkids,Free Baby Black Mollies (fish),"My son's black mollies have bred and bred........... we now have at least 40 ! Any fish tank owners out there want any ?
Just let me know, I live at the bottom of the lake in canton SZ"
"23.05.2007, 12:10",DanielL,"Zurich - 2 cabinets, 1 desk","Ahead of moving house, i'm clearing out some garbage.  The desk (which is missing a drawer) and the two cabinets pictured need to go.
You can collect them from Oerlikon."
"10.03.2006, 11:03",Lob,"[Free] VHS is dead....for me, anyway [Zurich]","Tell me what you want, what you really really want and I'll tell you what I want, what I really really want.
Handover of the goods would be in downtown Zurich. And no, you can't have them all....well not all at once. There's a damn heavy bag of VHS that won't fit on my motorbike!
Some are NTSC, marked as best I remember with * - so ensure your video can playback PAL and NTSC. There are likely to be more that I've not marked, I'm sure....  Quote:    Absolutely Fabulous (4) Wild at heart Men behaving badly (4) Nixon Set it off*Virtuosity Fargo A few good men Four weddings and a funeral Jacob’s ladder Jackie Brown*Highlander (There can be only one )Good will hunting The game The full monty Titanic As good as it gets Conspiracy theory Death and the maiden Only fools and horses (3) Never talk to strangers Shallow grave Seven True romance Braveheart Easy rider A life less ordinary L.A. confidential Men in black*Leon Single white female"
