d, u, t, b
"18.05.2010, 09:45",Country_Mouse,Book trade / swap [Zurich & Olten],"Hi all, due to the fact my partner seems to read a book every 2 days, we have developed a large collection, clutter clutter clutter.
We read mainly crime / detective / thrillers, mainly James Patterson / Stieg Larsson / Andy McNab / Chris Ryan.
If anyone has a similar taste, maybe we could swap some?
Cheers"
"08.03.2012, 21:01",JG2008,Re: Wanted - moving boxes,I am looking for moving/storage boxes. Do you maybe have any you no longer need? I'll be happy to pick up ( I live in Basel ). Thank you all.
"29.05.2012, 14:19",pademelon,Wanted - Moving boxes [Lausanne],"Hi all, 
We are moving and are looking for good quality cardboard boxes. Send us a PM if you have any you'd like to get rid of and live in Lausanne. We'll be picking them up by public transport."
"06.06.2012, 21:25",wolfken,Free spring mattress in wooden frame,"I give away to anyone who picks it up and brings a good bottle of beer in return (that how I got it on this forum)
A matress -we used for guests to stay over- with spring in wooden frame (90mm - 2100mm), you get a white matress cover as part of the deal.
To be picked up in ZRH as soon as possible because we need the space.
Have a nice one!"
"04.06.2012, 22:30",Mannipul8tor,Free Baby Buggy,"Bugaboo Baby stroller  free to good home. Must go soon or the  recycle unit will have it.  One wheel needs a new inner tube: otherwise all in good order
Comes with  baby seat, carrycot attachment, covers
Pm me if interested
Link  for details"
"23.05.2012, 12:58",mannah,"(For free) CRT TV and media cupboard (Volketswil, greater Zurich area)","Free to whoever can pick it up,
CRT TV and ikea glass door media cupboard.  The TV has a german plug on it, but i'll throw in a convertor for free..."
"02.06.2012, 21:04",pickles1,glass tv stand,"approx 120cm long, 50cm high and wide but can get real dimensions of anyones interested. also comes apart if you need it to.
pick up is in wadenswil."
"03.06.2012, 16:38",Dee,Mens carving skis,"For free, around 180 cm long, nordica brand, grey.
Pick up in horgen, Pm if interested."
"05.06.2012, 15:18",WelshBoyo,"For Free: Satellite Stand [Oberaegeri, Zug]","For free my satellite stand (14534_Sat_Halterung_Balkonst_nder_Holland_30) and concrete blocks (essential to stop it flying away in the wind) an also the green rubber matting (bit of balcony protection).
The base could do with a sand and re-paint as it has a bit of top rust but is still structurally sound.
Available for pickup in Oberaegeri on either Sunday 10th or Monday 11th June.
Please note: the Satellite is not included."
"01.06.2012, 00:46",delu,Free banana moving boxes,"I have 10-15 banana boxes to give away.
You can fetch them on Saturday or on Monday in Horgen."
"11.05.2012, 12:21",digikre8,FREE PC Games,"Mixed-bag of older-ish PC games for your enjoyment.  Hours of wide-eyed, isolation-is-awesome,  time-to-ignore your husband or wife / boyfriend or girlfriend fun with these little 'dings.  I would only ask that you share them with, or give them to another person when you are done playing them.   
Pick up in Dättwil (Baden).  PM me.  
Vivisector
MDK2
Games Giant Vol. 1 (Aquanox 2)
Colin McRae Rally 2005
Pariah
Comanche 4
Agassi Tennis
Fahrenheit
Golf"
"03.06.2012, 19:00",Dee,Gas barbecue for free,"Hi
Due to overseas relocation, we are giving away our gas barbecue.  Its a camping gaz rancho, 3 years old, and in good useble condition, but needs a bit of a clean up.http://www.campingaz.com/CH/c-496-rancho.aspx
Pick up in Horgen, PM if interested."
"28.05.2012, 20:53",rachelw,Free household items (Zurich),"A few things offered for free here:http://www.flickr.com/photos/6067362...7629937869538/
including:
bedside table
tall plant
stool
Collection from 8133 Esslingen evenings/weekends, or small items on weekday lunchtimes from Enge/Burkliplatz/Bleicherweg area."
"02.06.2012, 11:50",landmark77,"Free bed, matress, TV, tables","1. Bed 160x210(with matress, roast)
2. TV
3. table
4. small table
5. few toys
interested PM me."
"03.06.2012, 12:00",Valenta,Free king's size bed in Zug,"I am giving for free king size bed with mattress, american style (metal frame). To pick up in Zug center. I will help you to bring it down. You must have your own transport. Size 160x210"
"29.05.2012, 16:41",Dee,Marble bistro table for free,"Hi there
Giving away a marble bistro table for the patio- round white marble top with black cast iron leg.
Pick up in Horgen, PM if interested"
"03.06.2012, 14:30",Canariesfan,Free Metal High Sleeper Bed without Mattress in Zumikon,"Elevated metal frame bed, with desk space underneath. Suitable for 7 -13 year old . It is very practical as it has ladders for access from side and end of bed ( helps to actually make the bed up) , and has good side safety bars. I have already taken it to bits , takes approx 1 hour to rebuild having done this about 3 times before. 
Matching desk chair available but not in photo.
Free to someone who will collect, I will help get it downstairs
OK condition ( covered in stickers )  , please contact us within 48 hours otherwise it is going to the recycling plant"
"02.06.2012, 13:33",vilma,Moving boxes needed,"HI
If anyone has any boxes and paper that they need to get rid of in the Zurich area, I am looking for some for an upcoming move. Please PM me if you have any. 	
Thanks"
"31.05.2012, 11:31",casiopea,"Free sofa bed, cd rack and all in one printer in Wallisellen","Hi,
I have a sofa bed (1x2 meters open) , a cd rack and a FREE HP Officejet J6480 All-in-one to give away. The printer is from the States so the cartridges need to be bought there. They are all in very good condition 
They are only available for collection this Sunday 3rd from 1 to 3 pm in Wallisellen. Please PM me for the address.
Check the link for photos: https://picasaweb.google.com/1083761...eat=directlink
Laura"
"02.06.2012, 17:32",daisym,Free shelves and rectangular plastic flower pot --- zurich,"the picture of the shelves could be found on https://picasaweb.google.com/safina.ding/MovingSale
The size of the flower pot is around 20*8 cm"
"31.05.2012, 13:02",delu,Stuff to urgently give away,"Hi there
We are moving tomorrow and we have quite a few things we want to give away for free or for a small fee: kitchen stuff, tea pots, mugs, pans, etc.
I don't have the time to make a photo of each thing, a few photos are here:http://www.flickr.com/photos/7831970...11c5355bbd9356
I will not reserve anything, nor send or bring it anywhere.
If you want it, please come and fetch it in Horgen. First come first serve.
You can come throughout the whole day until 22 pm. I would be glad if you could send me a short SMS upfront, so that I can make sure I will be in the flat.
Cheers"
"07.05.2012, 20:47",aladrieth,Free stuff: moving sale/give-away [Brugg],"I need to get rid of pretty much everything but my clothes. The only furniture I own is a large, inflatable mattress, and I don't have any bed linens or lamps, but I otherwise have pretty much everything a person needs in an apartment (with a house cat). I'm not giving all of it away, but some things aren't worth trying to sell. 
If you want some hangers, a half-full bag of rice, some spices, pens and pencils, a litter box, that kind of stuff, PM me. I can't give a full list because I own a lot of stuff, but if you're looking for something, feel free to ask. If it's an appliance, I may not want to part with it for free, though."
"29.05.2012, 16:42",Dee,Selection of terracotta pots,"Hi
Have a selection of terracotta pots - around 12 ranging from bucket size to small size for pick up in Horgen.
PM if interested."
"26.04.2012, 18:34",The Little Chick,Frea Ikea Sofa Bed in Zurich City Center (Stauffacher),Free Sofa Bed in center of Zurich (Stauffacher)Ikea Beddinge Sofa in Red Chord http://www.ikea.com/ch/de/catalog/products/S89879393/#/S29874299Height: 91cmWidth: 200cmDepth: 104cmColour: Red Chord 5 years old with a few marks on cover but a new cover can be bought (if you don’t like the current one) from Ikea for 70chfFree cushions and arm rests toohttp://www.ikea.com/ch/de/catalog/products/20184734/#/10184843Pick up in Zurich city near StauffacherPM me for details
"31.05.2012, 15:44",kavitam,FREE SOFA to give away in Kloten,"Hi EF members,
I have a (3 + 1)er SOFA to give away for FREE in Kloten next to the Kloten Bahnhof.
It is in decent condition and ideal for students or any one new in the area to start with.
Please PM me urgently in case interested.
Thanks,
KM."
"07.05.2012, 09:03",Snooky76,Free King Size bed (available June),"Hi
We are giving away our king size bed to get a bigger one!  It is 5 years old and has a divan base with 4 draws so great for storage.  It has a memory foam mattress.
We can also provide bottom sheets to go with it as they do not sell this size in Switzerland.
UK King Size 150 x 200 cm
5 ft x 6ft 6in
Ideal as guest bed.
Collection Uster.   Please pm me for more info."
"29.05.2012, 15:05",kirley10,Kitchen toaster oven and dishes free,"We have a toaster oven,plates, mugs, bowls and glasses for free.
Pick up close to Goldbrunnenplatz.  Check link below for pictures.https://picasaweb.google.com/1127719...CNDqtaSpi_XUUQ
PM me if you want to come and pick them up.
We also have balcony chairs with cushions and a small white table for free pick up as well.
Cheers
Lauren"
"30.05.2012, 22:34",Que,Free Mountain Bike - needs new chain [Dübendorf],"Mountain free.  Needs a new chain.  
Send me PM if interested."
"30.05.2012, 17:26",Amande,exercice bike you want to get rid of ?,"Hi !
So, summer is coming and it starts to be way too hot to run (I can run only between 12 and 14, and i am dying!).
So I was wondering, does anybody have an exercice bike they don't use and would like to get rid of ? Or lend me for the summer ? 
PM me if you do !
Thanks a lot !
Amande"
"02.04.2012, 14:07",Hestia,Piaggio Dieses Scooter - GIVE AWAY,"Hello, we have a Piaggio Dieses 2006 which needs to be serviced and also needs the battery charged.  We have not driven it for some time and no longer have a need for it. 
Before I call a service company to take it away, is anyone interested?  The city ignition test is in May, hence the reason we now going to get rid of it.  Please let me know if you are interested.
Kind regards,
Hesita"
"30.05.2012, 13:39",kitten23kate,"Free Boy's clothes, sizes 18months up to 4t","My son is rapidly growing out of his clothes and we have a TON of stuff that doesn't fit him anymore. There is a large variety of stuff- short sleeve shirts, long sleeve shirts, pants, shorts, sweaters/sweat shirts, etc. Most of it is in the 2t to 3t range but there are some 4t and 18 month size stuff as well. I am not quite done sorting everything yet but so far I would estimate that there is probably at least 2 Migros bags full of clothes. Everything has been washed although we have cats so there might be some cat hair floating around (just a warning in case you're allergic). Everything is in pretty good condition, and there are some things that he only wore a couple of times or not at all. 
Available for pick up in or close to Amriswil, TG after 3pm/15:00 starting next week. If interested please feel free to comment or PM."
